age,height,weight
0~3개월,59.1,5.9
3~6개월,66.7,8
6~9개월,71.4,8.9
9~12개월,75,10.1
12~18개월,80.1,10.9
2세,87.8,13.2
3세,95.2,14.8
4세,102.3,16.7
5세,109,19.1
6세,115.5,21.5
7세,122,24.9
8세,127.8,28.5
9세,133.3,32.3
10세,138,35.4
11세,144.9,41.5
12세,150.7,45.2
13세,158.2,51
14세,164.7,57.1
15세,169.2,61.7
16세,170.3,63.4
17세,172.5,65.2
18세,172.9,67.4
19세,173.4,68.3
20~24세,173.8,69.5
25~29세,172.5,70.1
30~34세,171.3,71.5
35~39세,170.7,72.3
40~49세,168.6,70.6
50~59세,166.1,69.1
60~69세,164.4,65.9
70세이상,162.4,61.1
