연번,업소명,영업자성명,소재지(지번),소재지전화번호,업태명,주취급음식
1,다빈,강석순, 서초구 반포동 865  14호,02-536-5060,중국식,삼계탕
2,식도원,신정숙," 서초구 반포동 817 상가E블럭 32-1,33호 ",02-599-3825,일식,정통일식
3,함지박,안태준," 서초구 방배동 807 - 1 ,22 ",02-594-2728,중국식,중국요리
4,참이맛 감자탕,이병호, 서초구 서초동 1302 - 43  ,,한식,감자탕
5,육문선생,강영수," 서초구 서초동 1307 - 26 , 21호(1층?) ",02-3481-9211,한식,보쌈정식
6,진주청국장,박홍전, 서초구 서초동 1365 - 22  ,02-525-6919,한식,청국장
7,동해상사(주),전강식," 서초구 서초동 1357 - 33 지하1층,1층 ",02-3472-5838,일식,일식
8,서초버드나무집,이범만, 서초구 서초동 1340 - 5  ,02-3473-8355,한식,갈비탕
9,댓짱 돈까스,장유경, 서초구 방배동 1031 - 1  ,02-584-7348,경양식,돈까스
10,임광루,권순분," 서초구 방배동 1024 - 4 1층 9호, 1층 10호 ",02-583-2460,중국식,짜장면
11,성림,허만복외1, 서초구 서초동 1487 - 117  ,02-585-1758,한식,설렁탕
12,예촌정육식당,이유경, 서초구 서초동 1364 - 3  ,02-3473-8760,한식,"전골,갈비살"
13,주식회사 삼호복집,서미경, 서초구 잠원동 22 - 17  ,02-542-7296,한식,복매운탕
14,삼호복집,장명화, 서초구 서초동 1338 - 10  ,02-3474-3533,한식,복지리
15,춘하추동(주),백경희, 서초구 서초동 1327 - 34  ,02-3474-9297,한식,한우구이
16,유락손칼국수,김수진, 서초구 방배동 1019 - 1  ,02-586-2365,분식,칼국수
17,서초정육식당,이경득, 서초구 서초동 1503 - 19  ,02-588-0290,한식,등심
18,두레,김영숙, 서초구 서초동 1670 - 3  ,02-586-6565,분식,산채나물한정식
19,금수사,주동숙, 서초구 방배동 450 - 15 용빌딩2층 ,02-588-5988,일식,회덮밥
20,서가앤쿡(주)나인오키드,이진한, 서초구 서초동 1307 - 4  ,02-3481-0081,경양식,스테이크
21,호림수산명가,김영배, 서초구 방배동 450 - 1 2층 ,02-585-8533,회집,"생선회, 메운탕"
22,강구항,전은정, 서초구 서초동 1485 - 6  ,02-585-5739,한식,생선회
23,부산복집,최은순, 서초구 서초동 1581 - 2  ,02-584-9977,한식,복요리
24,송가네 참숯불갈비,송시종, 서초구 양재동 274 - 3 1층 ,,한식,한우
25,참설농탕,조영대, 서초구 서초동 1340 1층 ,02-3471-5550,한식,설렁탕
26,리밍,전성정, 서초구 서초동 1576 - 1  ,02-521-1392,중국식,자장면
27,반포면옥,소순경," 서초구 잠원동 70 , 5호 ",02-591-4281,한식,냉면
28,장산곶,방현호, 서초구 방배동 479 - 3 1층 ,,한식,남도음식
29,함흥식당,성하균, 서초구 양재동 273 - 5  ,02-577-7900,한식,갈비
30,신강능경북식당,이용희, 서초구 서초동 1600 - 1  ,02-588-3694,일식,초밥
31,태평양,정희동," 서초구 서초동 1691 - 1 지하1층, 지상2층 ",,일식,모듬회
32,노독일처,남숙자," 서초구 잠원동 15 - 10 라성빌딩 1층, 2층 ",02-517-4552,중국식,자장면
33,남자의 청춘,김보미, 서초구 방배동 911 - 20  ,02-587-4995,분식,부대찌개
34,서귀포 오분작 뚝배기,정미자," 서초구 서초동 1555 - 2 1,2층 ",,한식,"해물찜, 해물돌솥밥"
35,봉평고향메밀촌,박정규, 서초구 잠원동 39 - 1  ,02-511-7888,한식,막국수
36,두리반,추연자, 서초구 서초동 1625 - 10  ,02-523-8881,한식,한정식
37,서초보쌈,최영옥, 서초구 서초동 1689 - 6  ,02-537-6201,한식,보쌈
38,송가네보쌈,위중복, 서초구 방배동 911 - 20  ,02-522-2650,한식,보쌈
39,바다마을,김영상, 서초구 서초동 1695 - 2  ,02-534-7235,일식,막회
40,미도참치,김경우," 서초구 서초동 1571 - 6 1층, 2층 ",02-582-5674,일식,참치회
41,선궁,허익회, 서초구 서초동 1451 - 34  ,02-597-1397,중국식,중국요리
42,차돌,송미정, 서초구 서초동 1475 - 3  ,02-587-9871,한식,삼겹살
43,서초아구찜,장동학, 서초구 서초동 1588 - 8  ,02-522-3673,한식,아구찜
44,상지원,송현민, 서초구 양재동 69 - 5 지하1층 ,,중국식,자장면
45,조가네 갑오징어,서대원, 서초구 방배동 768 - 13  ,02-536-4842,한식,국밥
46,서초원,고인혜, 서초구 서초동 1715 - 10  ,02-596-0929,한식,한정식
47,우작설렁탕,정진란, 서초구 서초동 1621 - 5  ,02-584-8544,한식,설렁탕
48,조랭이 부대찌개,황현민, 서초구 서초동 1542 - 11  ,02-583-2776,한식,부대찌개
49,기와집순두부,안광윤, 서초구 서초동 1699 - 13  ,02-599-0579,한식,순두부
50,민가네 보쌈족발,민양규, 서초구 반포동 50 - 5 1층 ,02-595-8516,한식,보쌈
51,영동설농탕,김용호, 서초구 잠원동 10 - 53  ,02-543-4716,한식,설렁탕
52,대나무골 2호점,전용석, 서초구 서초동 1709 - 4 지하1층 ,02-593-5688,한식,한정식
53,토박이,지혜영, 서초구 반포동 549 - 16  ,02-532-4837,한식,만두전골
54,북해도,박미향, 서초구 서초동 1717 - 6 지하1층 ,02-532-0934,일식,회정식
55,소들녘,전영석, 서초구 서초동 1485 - 5  ,02-583-0505,한식,소불고기
56,솔토,오복자," 서초구 서초동 1572 - 1 ,2 ",02-521-5292,한식,오리훈제
57,풍천장어마을,서영곤, 서초구 방배동 951 - 18  ,02-598-3576,한식,장어탕
58,영변,차봉수, 서초구 서초동 1503 - 14  ,02-583-3455,일식,회정식
59,경수사,김명재, 서초구 양재동 276 - 1 2층 ,02-575-5818,일식,생선회
60,삼학도,전성성, 서초구 양재동 6 - 17  ,02-577-8928,일식,세꼬시
61,약초마을서래마을점,장태훈, 서초구 반포동 577 - 107  ,,한식,삼계탕
62,주말농장,조선식, 서초구 신원동 192 - 12  ,02-574-9691,한식,곤드레나물
63,대나무골,전용석, 서초구 서초동 1709 - 4  ,02-533-8410,한식,한정식
64,원당,서영보, 서초구 서초동 1571 - 26  ,02-583-3333,한식,감자탕
65,미각,김춘희, 서초구 서초동 1543 - 1  ,02-585-9095,한식,생등심
66,도원참치 총신대점,김성호, 서초구 방배동 1715 (2층?) ,02-583-9502,일식,참치회
67,듬북담북(뱅뱅점),엄태영, 서초구 서초동 1340 - 3 (1층?) ,02-525-8689,한식,북어국
68,우리밀 칼국수,조화자, 서초구 방배동 908 - 13 지하 1층 ,02-587-1397,한식,칼국수
69,황궁,전창규, 서초구 서초동 1705 정곡빌딩서관 지하1층 ,02-599-8079,중국식,중국요리
70,내고향본가,박말녀," 서초구 잠원동 17 - 1 2,3,4,5 ",02-540-6331,한식,남도요리
71,공룡고기,문춘혁," 서초구 반포동 1048 ~1050,1052번지 J동 212호",02-534-8184,한식,육류
72,두레가든,김문숙, 서초구 신원동 219 - 1 1층 ,02-573-0281,한식,약선비빔밥
73,(주)명선헌,최인순," 서초구 서초동 1344 - 12 지상1층,지하1층 ",02-587-2942,한식,한정식
74,정여사 손칼국수,정정례, 서초구 우면동 64 - 2  201호,02-544-2000,분식,칼국수
75,참숯애 서래갈비,김성하, 서초구 방배동 818 - 13  ,02-533-9394,한식,갈비
76,나라스시,하태희, 서초구 서초동 1364 - 1 (1층) ,02-3473-7702,일식,생선회정식
77,애향,김경수, 서초구 서초동 1676 - 4 1층 ,02-0583-8182,일식,남도계절음식
78,명궁,홍숙," 서초구 우면동 65 - 1 한일프라자 201,202,203호 ",,중국식,자장면
79,신태평양,천원기, 서초구 서초동 1692 - 4 지하1층 가호,02-534-0354,일식,모듬회
80,주식회사 엠에프지코리아 매드포갈릭 예술의전당점,한종문, 서초구 서초동 1451 - 34  ,02-3406-1720,경양식,"파스타,피자"
81,포폴라리타,임영자, 서초구 반포동 96 - 1  ,02-593-2340,경양식,스파게티
82,초만원,이정근," 서초구 서초동 1317 - 7 강남빌딩 1층,2층 ",02-3481-8585,중국식,자장면
83,화돌농장,전수남, 서초구 양재동 204 1층 ,02-575 -1858,한식,오리로스
84,성민양꼬치,최용진, 서초구 방배동 449 - 4 1층 ,02-583-8856,기타,양고기
85,방배골,석강하, 서초구 방배동 2096  ,02-595-2116,한식,등심
86,산호,서인숙, 서초구 서초동 1552 - 1 대영빌딩 1층 ,02-523-3534,한식,세꼬시
87,양재정육식당,박민석, 서초구 서초동 1595 - 6  ,02-582-2828,한식,냉면
88,봉추찜닭,김익환, 서초구 서초동 1574 - 6  101호,,한식,찜닭
89,진동둔횟집,박외숙," 서초구 잠원동 36 - 18 지하1층,1층,2층 ",02-543 -3849,일식,대구탕
90,공리,최석규," 서초구 잠원동 26 - 9 1층,2층 ",02-544-3239,중국식,중국요리
91,초원복집,최성례, 서초구 서초동 1552 - 18 1층 ,02-598-3654,한식,복요리
92,송강,차경숙, 서초구 방배동 1002 - 1 1층 ,02-521-2502,한식,"복어, 장어요리"
93,기와골,유재은, 서초구 서초동 1712 - 2 동룡빌딩 지하2층 ,02-594-9945,한식,한정식
94,구미가 서초점,양용란, 서초구 서초동 1443 - 28 1층 ,02-523-4675,한식,오리
95,물조은선주회집,김인규," 서초구 방배동 453 - 29 (1,2층) ",02-521-7620,회집,생선회
96,한촌설렁탕,김준호, 서초구 양재동 289 - 9  ,02-574-6767,한식,설렁탕
97,하나참치,이광열, 서초구 서초동 1585 - 14 (지상1층) ,02-587-2220,일식,참치회
98,교대강릉집,안희수, 서초구 서초동 1692 - 3 지 1층 ,,식품등 수입판매업,회무침
99,(주)배나무골,장현성, 서초구 양재동 241 - 3  ,02-571-5252,한식,오리
100,참조은정육식당,김덕자, 서초구 방배동 448 - 21  ,,한식,생고기
101,예촌,신봉석," 서초구 서초동 1364 - 5 (1,2층) ",02-525-0987,한식,한정식
102,오발탄,이헌룡," 서초구 서초동 1720 - 1 1,2,3층 ",02-591-6657,한식,양대창구이
103,서래면옥,박성완, 서초구 방배동 837 - 14  ,02-599-0366,분식,바지락칼국수
104,"홍콩반점0410, 빽다방 강남역 서초점",백청수, 서초구 서초동 1316 - 28 지상1층 ,02-533-6330,중국식,초밥
105,무교동유정낙지반포점,이현숙, 서초구 반포동 57 - 3  ,02-599-0088,한식,낙지볶음
106,방배쭈꾸미,조구목, 서초구 방배동 443 - 4 (지상2층) ,02-581-3314,한식,한식
107,오미가,김정숙," 서초구 양재동 1 - 23 , 24호 ",02-578-9411,한식,한정식
108,새마을식당 서초지점,백종원, 서초구 서초동 1302 - 45 양정빌딩 지상1층 가호 ,02-3477-8284,한식,불고기
109,전통명가,정혜자, 서초구 서초동 1550 - 1  ,02-522-5886,한식,한식
110,호수사,문종현, 서초구 반포동 59 - 4 ~5호 지하 1층 ,02-594-3800,일식,회정식
111,천년학이우렁먹는날,이영미, 서초구 잠원동 23 - 7  ,,한식,우렁쌈밥
112,램하우스 서초법원점,박종근," 서초구 서초동 1713 - 4 ,5,6 (202호) ",,한식,양갈비
113,장원한정식,정애숙, 서초구 서초동 1714 - 16  ,02-593-8466,한식,한정식
114,서초사리원,나성윤, 서초구 서초동 1321 - 7  ,02-521-7678,한식,불고기
115,완산골명가 남부터미널점,김은주, 서초구 서초동 1441 - 1 (지상1층) ,02-525-0049,한식,국밥
116,설국,강동진, 서초구 서초동 1694 - 22 (1층) ,02-3476-8877,일식,회정식
117,아웃백스테이크하우스 양재점,조인수, 서초구 서초동 1362 - 26  ,02-2054-8365,경양식,스테이크
118,다리원,장혜운, 서초구 양재동 20 - 28  ,02-577-3099,중국식,중국요리
119,향나무집,배인순, 서초구 서초동 1553 - 14 지상1층 ,02-597-5554,한식,"낙지,홍어찜"
120,파샤터키레스토랑,알리카라괴슬루, 서초구 서초동 1317 - 31 세계빌딩4층 ,02-536-3466,경양식,케밥
121,샤이바나,송제혁, 서초구 반포동 104 - 4 1층 ,02-533-6870,경양식,스테이크
122,소노야,홍정은, 서초구 방배동 909 - 1 1층 ,,분식,참치
123,알봉칼국수,강미란, 서초구 양재동 291 - 16 1층 ,,한식,생선회
124,푸른목장,김윤환," 서초구 방배동 983 - 11 1층 102호,106호 ",02-523-0054,한식,특수부위
125,고집,원웅규, 서초구 잠원동 17 - 11 1층 ,02-545-3492,한식,쇠갈비
126,제주복돈 사당점,김억년, 서초구 방배동 446 - 2 1층 ,02-597-5882,한식,돼지갈비
127,신이주신선물 오리고기 싸고맛있는집,이말숙, 서초구 반포동 706 - 3 1층 ,02-514-0309,한식,김치찌개
128,메콩타이 강남역점,박창현, 서초구 서초동 1317 - 13 2층 ,02-3481-3285,한식,쌀국수
129,평가옥(반포점),이창건, 서초구 반포동 746 - 5 서일빌딩 1층 (103-107호) ,02-3444-8030,한식,냉면
130,박장대소마을,이시연, 서초구 서초동 1330 - 18 1층 ,,한식,한우구이
131,듬북담북,오승, 서초구 서초동 1691 - 5 1층 ,02-3477-2835,한식,북어국
