동물보호센터명,관리기관명,동물보호센터유형,구조대상동물,소재지도로명주소,소재지지번주소,위도,경도,동물보호센터지정일자,평일운영시작시각,평일운영종료시각,평일분양시작시각,평일분양종료시각,주말운영시작시각,주말운영종료시각,주말분양시작시각,주말분양종료시각,휴무일,수의사인원수,사양관리사인원수,진료실수,사육실수,격리실수,사료보관실수,구조운반용차량보유대수,전화번호,데이터기준일자,제공기관코드,제공기관명,
인천수의사회 유기동물보호소,인천수의사회,법인,「동물보호법」에 따른 유실·유기동물,인천광역시 계양구 다남로165번길 56(다남동),,37.5661963,126.7196302,2006-10-18,09:00,18:00,,,09:00,13:00,,,연중무휴,1,3,,,,,,032-515-7567,2018-08-13,3520000,인천광역시 연수구,
사단법인 한국동물구조관리협회,도봉구청,법인,유실·유기 및 피학대동물,경기도 양주시 남면 감악산로 63-37,,37.8700725,126.9832252,2014-06-10,09:00,23:00,09:00,18:00,09:00,23:00,09:00,18:00,연중무휴,1,6,1,6,2,1,5,031-867-9119,2018-01-02,3090000,서울특별시 도봉구,
수성동물병원,화성시,개인,"개, 고양이",경기도 화성시 남양읍 남양성지로34,경기도 화성시 남양읍 남양리 465-3번지,37.2055772,126.8071913,2016-12-31,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,1,1,1,2,1,1,2,031-355-5883,2017-11-17,5530000,경기도 화성시,
청산동물병원,화성시,개인,"개, 고양이",경기도 화성시 우정읍 3.1만세로29,경기도 화성시 우정읍 조암리 348번지,37.0821769,126.8171921,2016-12-31,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,1,2,1,1,1,1,1,031-358-4358,2017-11-17,5530000,경기도 화성시,
인천광역시수의사회유기동물보호소,인천시수의사회,단체,"유기, 유실동물",인천광역시 계양구 다남로165번길 56(다남동),인천광역시 계양구 다남동 35-8,37.5661963,126.7196301,2007-01-01,09:00,18:00,13:00,16:00,09:00,12:00,00:00,00:00,없음,1,3,1,22,1,2,2,032-515-7567,2018-08-08,3530000,인천광역시 남동구,
성일동물병원,철원군,동물병원,개 고양이,강원도 철원군 금학로 284-1,강원도 철원군 동송읍 이평리 853-38,38.209944,127.217170,2018-01-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,공휴일,1,1,1,1,1,1,1,033-450-8905,2018-08-20,4300000,강원도 철원군,
경동동물병원,중구,동물병원,"개, 고양이",인천광역시 중구 개항로 68,인천광역시 중구 경동 240-60,37.471967,126.629931,2007-01-01,09:00,18:00,09:00,18:00,10:00,18:00,10:00,18:00,없음,1,1,1,2,1,1,1,032-765-9988,2018-08-20,6280000,인천광역시,
신공항동물병원,중구,동물병원,"개, 고양이, 햄스터, 야생동물(고라니, 조류 등)",인천광역시 중구 운중로 33,인천광역시 중구 영종동 507-26,37.493777,126.537375,2013-01-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,없음,1,1,1,1,1,1,1,032-751-4598,2018-08-20,6280000,인천광역시,
인천종합동물병원(송현점),동구,동물병원,"개, 고양이",인천광역시 동구 솔빛로 2,인천광역시 동구 송현동 72-283,37.476764,126.633599,2012-01-01,10:00,21:00,10:00,21:00,10:00,19:00,10:00,19:00,없음,2,4,2,1,1,1,2,032-765-0112,2018-08-20,6280000,인천광역시,
인천수의사회 유기동물보호소,"남구,연수구,남동구,옹진군",동물병원,"개, 고양이, 토끼, 기니픽, 고슴도치",인천광역시 계양구 다남로165번길 56,인천광역시 계양구 다남동 35-8,37.566426,126.719587,2008-01-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,없음,1,4,1,5,1,2,2,032-515-7567,2018-08-20,6280000,인천광역시,
백마동물병원,부평구,동물병원,"개, 고양이","인천광역시 부평구 부평대로 132, 1층",인천광역시 부평구 부평동 431-15,37.503542,126.722102,2005-01-01,09:30,18:00,09:30,18:00,09:30,18:00,09:30,18:00,일요일,1,4,1,1,1,1,2,032-528-1359,2018-08-20,6280000,인천광역시,
신영재동물병원,계양구,동물병원,"개, 고양이",인천광역시 계양구 장제로 923,인천광역시 계양구 병방동 428,37.549119,126.741393,2007-01-01,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,없음,1,1,1,1,1,1,2,032-552-0075,2018-08-20,6280000,인천광역시,
가정동물병원,서구,동물병원,"개, 고양이",인천광역시 서구 가정로 346,인천광역시 서구 가정동 517-32,37.515887,126.673054,2005-01-01,09:30,19:30,09:30,19:30,10:30,18:30,10:30,18:30,없음,2,4,2,3,0,1,1,032-575-0833,2018-08-20,6280000,인천광역시,
베스트동물병원,강화군,동물병원,"개, 고양이, 염소, 돼지",인천광역시 강화군 강화읍 강화대로 217,인천광역시 강화군 강화읍 갑곳리 519-2,37.740852,126.504728,2012-01-01,09:00,22:00,09:00,22:00,09:00,18:00,09:00,18:00,일요일,1,1,1,3,1,1,1,032-934-9340,2018-08-20,6280000,인천광역시,
최종주동물병원,영동군,동물병원,개+고양이 등,충청북도 영동군 영동읍 계산로 54 최종주동물병원,충청북도 영동군 영동읍 계산리 662-6,36.1726027,127.7823399,2016-11-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,1,1,1,,7,1,1,043-744-4209,2017-11-16,4440000,충청북도 영동군,
청주시반려동물보호센터,청주시청,단체,"개, 고양이, 기타 등",충청북도 청주시 흥덕구 서부로 411-55,충청북도 청주시 흥덕구 강내면 태성리 산8,36.6370179,127.4674818,2016-10-06,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,일요일,2,3,1,3,1,1,1,043-231-0047,2018-08-16,5710000,충청북도 청주시,
