시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자,제공기관코드,제공기관명,
원당시장,상설장,경기도 고양시 덕양구 호국로790번길17,경기도 고양시 덕양구 성사동697-14,매일,37.656285,126.837309,59,농수축산물+잡화,온누리상품권,,N,Y,2005,031-963-0013,2018-07-10,3940000,경기도 고양시,
능곡시장,상설장,경기도 고양시 덕양구 능곡로12-9,경기도 고양시 덕양구 토당동348-9,매일,37.621256,126.821165,78,농수축산물+잡화,온누리상품권,,Y,N,2011,031-973-3727,2018-07-10,3940000,경기도 고양시,
일산시장,상설장,경기도 고양시 일산서구 일청로12번길9,경기도 고양시 일산서구 일산동617-20,매일,37.685734,126.770918,88,농수축산물+잡화,온누리상품권,,Y,Y,1979,031-975-3903,2018-07-10,3940000,경기도 고양시,
패션1번지,상설장,경기도 고양시 일산서구 탄중로101번길13,경기도 고양시 일산서구 덕이동384-1,매일,37.693001,126.755748,59,패션의류,온누리상품권,,Y,Y,2007,031-917-6669,2018-07-10,3940000,경기도 고양시,
원당시장,상설장,경기도 고양시 덕양구 호국로790번길17,경기도 고양시 덕양구 성사동697-14,매일,37.656285,126.837309,59,농수축산물+잡화,온누리상품권,,N,Y,2005,031-963-0013,2018-07-10,3940000,경기도 고양시,
능곡시장,상설장,경기도 고양시 덕양구 능곡로12-9,경기도 고양시 덕양구 토당동348-9,매일,37.621256,126.821165,78,농수축산물+잡화,온누리상품권,,Y,N,2011,031-973-3727,2018-07-10,3940000,경기도 고양시,
일산시장,상설장,경기도 고양시 일산서구 일청로12번길9,경기도 고양시 일산서구 일산동617-20,매일,37.685734,126.770918,88,농수축산물+잡화,온누리상품권,,Y,Y,1979,031-975-3903,2018-07-10,3940000,경기도 고양시,
패션1번지,상설장,경기도 고양시 일산서구 탄중로101번길13,경기도 고양시 일산서구 덕이동384-1,매일,37.693001,126.755748,59,패션의류,온누리상품권,,Y,Y,2007,031-917-6669,2018-07-10,3940000,경기도 고양시,
백운시장,상설장,서울특별시 도봉구 삼양로154길 42,서울특별시 도봉구 쌍문동 495-9,매일,37.655638,127.015593,57,"농산물, 생필품, 수산물, 잡화 등",,,N,N,1970,02-903-0678,2018-05-15,3090000,서울특별시 도봉구,
방학동도깨비시장,상설장,서울특별시 도봉구 도당로13가길 17,서울특별시 도봉구 방학동 633-15,매일,37.6658977,127.0361851,103,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,,N,Y,1982,02-954-1225,2018-05-15,3090000,서울특별시 도봉구,
